"Внешний адрес / домен";"Назначение";"Обязательность";"Какие данные могут передаваться";"Комментарий по риску"
"nominatim.openstreetmap.org";"Проверка и нормализация адреса объекта";"Необязательно";"Адрес объекта";"Внешний геосервис; получает адрес, введенный пользователем."
"api.resend.com";"Отправка email и OTP-кодов";"Необязательно";"Email получателя, служебный текст письма и код подтверждения";"Почтовый провайдер; может обрабатывать персональные данные, если используется персональный email."
"VITE_PRICE_API_URL";"Основной внешний endpoint API сбора цен, если задан через окружение";"Условно обязательно";"Поисковые запросы, модели, артикулы и параметры позиций";"Точный адрес определяется окружением deployment и должен отдельно инвентаризироваться."
"spider0.vercel.app";"Резервный endpoint /api/vendor-prices для сбора цен";"Условно обязательно";"Поисковые запросы, модели, артикулы и параметры позиций";"Внешний сервер платформы, используемый как резервный контур ценового API."
"www.tinko.ru";"Поиск цен у поставщика";"Необязательно";"Поисковые запросы по оборудованию, артикулам и моделям";"Внешний сайт поставщика."
"luis.ru";"Поиск цен у поставщика";"Необязательно";"Поисковые запросы по оборудованию, артикулам и моделям";"Внешний сайт поставщика."
"luis.ru/luisapi/catalog/search";"API поиска цен и товаров Luis+";"Необязательно";"Строка поискового запроса по оборудованию";"Внешний API поставщика."
"garantgroup.com";"Поиск цен у поставщика";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт поставщика."
"ganimedsb.ru";"Поиск цен у поставщика";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт поставщика."
"shop.bolid.ru";"Опрос каталога и цен производителя Болид";"Необязательно";"Поисковые запросы, модели и артикула оборудования";"Внешний сайт производителя."
"products.rubezh.ru";"Опрос каталога и цен производителя Рубеж";"Необязательно";"Поисковые запросы, модели и артикула оборудования";"Внешний сайт производителя."
"bast.ru";"Сайт производителя Бастион";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"sigur.com";"Сайт производителя Sigur";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"parsec.ru; www.parsec.ru";"Сайт производителя Parsec";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"perco.ru";"Сайт производителя PERCo";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"biosmart.ru";"Сайт производителя Biosmart";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"www.rusguard.ru";"Сайт производителя RusGuard";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"trassir.com";"Сайт производителя TRASSIR";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"iss.ru";"Сайт ISS (Интеллект)";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"macroscop.com";"Сайт производителя Macroscop";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"www.axxonsoft.com";"Сайт производителя AxxonSoft";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"argus-spectr.ru";"Сайт производителя Аргус-Спектр";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"www.johnsoncontrols.com";"Страница производителя Simplex";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"www.siemens.com";"Страница Siemens Fire Safety";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"www.hikvision.com";"Сайт производителя Hikvision";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"www.dahuasecurity.com";"Сайт производителя Dahua";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"www.axis.com";"Сайт производителя Axis";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"global.uniview.com";"Сайт производителя Uniview";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"roxton-audio.com; roxton.pro";"Сайт производителя Roxton";"Необязательно";"Поисковые запросы по оборудованию";"Внешний сайт производителя."
"images.unsplash.com";"Загрузка фоновых изображений публичного сайта";"Необязательно";"Факт загрузки страницы, IP-адрес и user-agent на стороне CDN";"Внешний CDN изображений, не относится к расчетной логике платформы."
